Species,fc,auroc,p.val,p.adj,cohen.d
Suillus clintonianus,0.379880746,0.677987308,8.95E-17,2.66E-15,0.455322812
Meira miltonrushii,0.030049072,0.521126336,0.323824887,0.375426251,-0.041764392
Jaapia argillacea,0.273045612,0.584019204,7.26E-05,0.000187618,0.095105888
Hermanssonia centrifuga,0.050371533,0.534154117,0.110700025,0.141909623,-0.022514764
Lachancea quebecensis,0.266297722,0.675123231,2.87E-16,7.59E-15,0.491922256
Rhizopus delemar,0.323449705,0.610885,1.82E-07,8.75E-07,0.304725373
Yarrowia lipolytica,0.060481042,0.530660697,0.152166084,0.189014666,-0.065012358
Hypoxylon sp. EC38,0.398437761,0.629173638,1.50E-09,1.06E-08,0.093283978
Phlebiopsis gigantea,0.128651858,0.525836989,0.226404418,0.273141032,-0.080075126
Pseudogymnoascus sp. 23342-1-I1,-0.095993753,0.423796711,0.000370338,0.000827746,-0.253878562
Kockovaella imperatae,0.386008063,0.617638192,1.73E-08,1.10E-07,0.140623578
Ogataea philodendri,0.181858157,0.575988483,0.00038616,0.000852422,0.128047842
Kazachstania naganishii,0.073978174,0.510951326,0.604499398,0.651069594,-0.104562171
Aspergillus melleus,0.225340594,0.600137174,2.90E-06,1.03E-05,0.204824136
Penicillium italicum,0.176131242,0.568183874,0.001447164,0.002751542,0.02165492
Komagataella phaffii,0.222829123,0.564064879,0.002681151,0.004696955,0.082923796
Kwoniella heveanensis,0.071270855,0.546220926,0.0308793,0.044388994,-0.009548284
Kwoniella mangrovensis,0.28931938,0.61445379,8.88E-08,4.73E-07,0.322404222
Penicillium steckii,-0.070544189,0.44047619,0.005436041,0.008951264,-0.252653337
Orbilia oligospora,0.230961542,0.562598924,0.002856673,0.004955737,-0.052203562
Laccaria amethystina,0.166928262,0.542704895,0.041502776,0.058136502,-0.071413811
Penicillium camemberti,0.194941214,0.560839024,0.00436467,0.007305188,0.032276842
Lachancea fermentati,0.181831186,0.540104614,0.060102009,0.081936391,0.054127158
Lachancea lanzarotensis,0.052665023,0.493160132,0.748772522,0.780518725,-0.15934619
Talaromyces rugulosus,0.018765956,0.507118739,0.739528625,0.77201158,-0.088005516
Pseudocercospora fijiensis,0.231879238,0.602017667,1.89E-06,7.20E-06,0.142774576
Pisolithus microcarpus,-0.019880267,0.46661843,0.11892626,0.151148705,-0.222369595
Malassezia pachydermatis,-0.024588373,0.450255506,0.020167333,0.030019433,-0.224934975
Aspergillus tanneri,0.295089277,0.612203983,1.58E-07,7.81E-07,0.225278513
Oidiodendron maius,0.297551265,0.666568685,7.28E-15,1.53E-13,0.319155541
Neurospora discreta,0.134840405,0.544491174,0.037682585,0.053308895,-0.036008342
Daldinia sp. EC12,0.214739791,0.643855801,1.84E-11,1.98E-10,0.411098575
Malassezia sympodialis,-0.110277589,0.389107463,2.23E-07,1.06E-06,-0.305508062
Rhodofomes roseus,-0.012058017,0.457396856,0.04663157,0.064797158,-0.219738927
Wickerhamiella sorbophila,0.176927623,0.552755543,0.013641469,0.020961998,0.025236182
Letharia columbiana,0.354299872,0.593790983,2.30E-06,8.56E-06,0.197047706
Letharia lupina,0.275394479,0.574673269,0.000393847,0.000866707,0.257420348
Rutstroemia sp. NJR-2017a BBW,0.336344086,0.671592125,1.10E-15,2.71E-14,0.480437688
Fusarium fujikuroi,0.1373709,0.598049413,4.67E-06,1.57E-05,0.22035203
Microdochium bolleyi,-2.96E-05,0.489022295,0.608179249,0.653059947,-0.147644057
Armillaria solidipes,0.069594181,0.567976605,0.001500465,0.002845298,0.139162782
Colletotrichum higginsianum,0.11136941,0.615953662,6.12E-08,3.38E-07,0.174970874
Thermothelomyces thermophilus,0.31262035,0.654822201,4.77E-13,7.28E-12,0.156588665
Magnaporthiopsis poae,0.103409908,0.599907294,3.07E-06,1.07E-05,0.139359136
Colletotrichum tofieldiae,0.108024095,0.609015813,3.56E-07,1.65E-06,0.325404373
Pseudomassariella vexata,0.049201334,0.543846757,0.040589364,0.057081295,0.086370124
Penicillium oxalicum,0.069611168,0.500192195,0.992825478,0.994219896,-0.153352989
Pneumocystis carinii,0.25106174,0.600547943,2.53E-06,9.24E-06,0.224266368
Mucor ambiguus,0.061526151,0.587731199,4.18E-05,0.000114698,0.210833662
Pseudozyma hubeiensis,0.325764312,0.700741645,6.91E-21,4.93E-19,0.638674143
Valsa mali,0.055529418,0.539516725,0.064966997,0.087896525,0.045803118
Trametes cinnabarina,0.087614597,0.576930614,0.000327193,0.000742958,0.086802293
Rhizoclosmatium globosum,0.017101161,0.504680505,0.826971197,0.853057945,-0.04388487
Xylona heveae,0.27974436,0.684981685,5.66E-18,2.46E-16,0.476092025
Aspergillus aculeatus,0.040509119,0.521872503,0.307028748,0.360644971,-0.041843315
Phycomyces blakesleeanus,-0.060751249,0.419304632,0.000164181,0.000394146,-0.29377314
Aspergillus carbonarius,-0.057109965,0.441474849,0.006272235,0.010163872,-0.216880577
Schizosaccharomyces octosporus,0.140367165,0.579474367,0.000205851,0.000487614,0.036596648
Pseudogymnoascus sp. WSF 3629,0.271002081,0.630300427,1.15E-09,8.47E-09,0.350159282
Penicillium roqueforti,0.385551336,0.656612249,2.51E-13,4.16E-12,0.378996595
Metarhizium acridum,0.290695885,0.604779994,7.15E-07,2.98E-06,0.22542391
Plicaturopsis crispa,0.128791336,0.574319028,0.000518641,0.001117194,0.135650645
Bipolaris zeicola,0.219655444,0.533585071,0.108714604,0.14027687,-0.099803315
Metarhizium brunneum,0.15613064,0.552465367,0.000615351,0.001305789,0.472243971
Metarhizium guizhouense,0.158264271,0.548915419,0.002145643,0.003874761,0.058716177
Mixia osmundae,0.408945628,0.619367943,3.02E-09,2.05E-08,0.416382194
Aspergillus campestris,0.141597256,0.600438656,2.72E-06,9.81E-06,0.190077159
Paracoccidioides lutzii,0.349182766,0.598136089,1.67E-06,6.49E-06,0.353200407
Sclerotinia sclerotiorum,-0.075598703,0.429076411,0.000925572,0.001848552,-0.307879115
Saitoella complicata,-0.019627749,0.476586171,0.274192185,0.325289564,-0.172490529
Rhodotorula taiwanensis,0.155859332,0.566446585,0.001911556,0.003530932,0.073053813
Botrytis byssoidea,0.289182661,0.646520147,7.71E-12,9.16E-11,0.294160683
Coniochaeta ligniaria,0.086832947,0.557801595,0.006945723,0.011103813,-0.017278309
Escovopsis weberi,0.076696977,0.552729164,0.013796287,0.021154307,0.044256039
Trichoderma reesei,-3.56E-05,0.491143973,0.679157858,0.719523853,-0.165146582
Amorphotheca resinae,-0.172291616,0.36524518,3.11E-10,2.67E-09,-0.456613977
Kwoniella dejecticola,0.211847307,0.561946969,0.003431267,0.005880993,0.09524857
Naumovozyma dairenensis,0.23418428,0.587701051,4.17E-05,0.000114698,0.155317324
Piromyces finnis,-0.116830482,0.393362125,6.35E-07,2.76E-06,-0.404015461
Aspergillus steynii,0.047575883,0.534048599,0.111809398,0.142867565,0.002765573
Verticillium longisporum,0.240695383,0.583876001,8.37E-05,0.000212328,0.089225807
Moniliophthora roreri,0.306545905,0.631777687,7.23E-10,5.60E-09,0.283281319
Schizopora paradoxa,0.181512891,0.560710894,0.004461579,0.007449897,0.062847348
Wallemia ichthyophaga,0.157167044,0.558283966,0.006480398,0.010406586,0.041308433
Rhizoctonia solani,0.02598879,0.532092736,0.133932951,0.168420096,0.028095069
Hyaloscypha bicolor,-0.094888147,0.415091424,7.32E-05,0.000188481,-0.287287549
Aspergillus versicolor,0.072264995,0.555306833,0.009797329,0.015386554,0.002511793
Aureobasidium subglaciale,0.060375755,0.497437405,0.90469184,0.918867923,-0.154337219
Penicillium solitum,0.442600885,0.654305914,4.80E-13,7.28E-12,0.406089678
Mitosporidium daphniae,0.251965526,0.581445304,0.000118816,0.000293133,-0.023074013
Zygotorulaspora mrakii,-0.009541109,0.489775999,0.633024562,0.675668432,-0.120263509
Nematocida major,0.250692974,0.578264671,0.000251845,0.000584904,0.057968745
Nannizzia gypsea,0.482375829,0.691716034,2.64E-19,1.45E-17,0.597872293
