Species,fc,auroc,p.val,p.adj,cohen.d
Pseudogymnoascus sp. VKM F-3557,0.264381717,0.577292392,0.00020955,0.000493099,0.05246358
Pyrenophora teres,0.334488977,0.612113538,6.61E-08,3.60E-07,0.250696524
Exophiala spinifera,0.031783697,0.488995915,0.607081009,0.65286389,-0.175249973
Westerdykella ornata,0.412825716,0.635727099,2.21E-10,1.97E-09,0.187825395
Rhinocladiella mackenziei,0.163707705,0.548704382,0.021697499,0.032185088,0.008221739
Pseudogymnoascus verrucosus,-0.001212589,0.502264882,0.850234207,0.869751778,0.006530075
Pneumocystis murina,0.226879692,0.571564238,0.000602654,0.001286505,0.013412563
Zygosaccharomyces rouxii,0.026262635,0.513600597,0.525306323,0.57889244,-0.06065954
Armillaria ostoyae,0.122879928,0.594273354,1.07E-05,3.27E-05,0.130699178
Aaosphaeria arxii,0.066433151,0.54371109,0.041210144,0.057840222,0.029653014
Cordyceps fumosorosea,0.131505715,0.61937548,2.48E-08,1.52E-07,0.240950154
Psilocybe cubensis,-0.07363996,0.418814724,0.000149753,0.000360722,-0.29280338
Paraphaeosphaeria sporulosa,0.056854621,0.539972716,0.061932483,0.083950304,0.107093573
Schizophyllum commune,0.09372623,0.518695639,0.382154994,0.431816974,-0.050075198
Trematosphaeria pertusa,-0.107919498,0.424912193,0.000453636,0.000989122,-0.327350523
Puccinia sorghi,0.276562671,0.594397715,9.98E-06,3.08E-05,0.09866928
Laetiporus sulphureus,0.104689432,0.549993217,0.019551511,0.029163656,0.096100528
Aspergillus homomorphus,-0.087872583,0.440219931,0.005241495,0.008663589,-0.110688112
Ophiocordyceps australis,0.169101378,0.617366858,4.22E-08,2.39E-07,0.083342456
Moelleriella libera,0.206783993,0.653631348,7.24E-13,1.07E-11,0.402867776
Tuber borchii,0.247232555,0.568300698,0.001341045,0.002577264,0.125880625
Rutstroemia sp. NJR-2017a BVV2,0.186196047,0.56475075,0.002347907,0.004185144,0.037108118
Botrytis cinerea,0.633492477,0.696935438,2.88E-20,1.87E-18,0.281090058
Rozella allomycis,0.28792402,0.628981444,1.66E-09,1.16E-08,0.317298051
Hydnomerulius pinastri,0.152861056,0.614985152,7.88E-08,4.22E-07,0.209885639
Yamadazyma tenuis,0.065109338,0.547837622,0.025477963,0.037140462,-0.031260846
Zymoseptoria tritici,0.15428867,0.615542893,6.81E-08,3.68E-07,0.186879194
Linderina pennispora,0.096331545,0.607350126,5.35E-07,2.35E-06,0.227450064
Trichophyton violaceum,0.099786733,0.577537346,0.000293326,0.00067248,0.06295042
Tetrapisispora phaffii,0.106189692,0.533769728,0.113346101,0.14457204,0.053390716
Metarhizium anisopliae,-0.056393114,0.455000075,0.035591892,0.050652732,-0.174762728
Fusarium solani,0.058642659,0.538043232,0.075615603,0.101151829,-0.145727969
Scheffersomyces spartinae,0.173055018,0.562538627,0.003415098,0.005867386,0.106211021
Aspergillus nidulans,0.04250851,0.546857806,0.028646384,0.041345895,0.037350413
Rhizopogon vesiculosus,0.027559132,0.510412427,0.595388304,0.643199789,-0.097931475
Rhizopogon vinicolor,0.233557535,0.555336981,0.009283143,0.014611216,0.065158814
Ascoidea rubescens,0.167596875,0.611759297,1.80E-07,8.71E-07,0.098355286
Colletotrichum fioriniae,-0.084390955,0.40487496,8.89E-06,2.81E-05,-0.30200364
