Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Atribacterota,Bacteroidetes,Balneolaeota,Caldiserica,Calditrichaeota,Candidatus_Absconditabacteria,Candidatus_Bipolaricaulota,Candidatus_Cloacimonetes,Candidatus_Omnitrophica,Candidatus_Saccharibacteria,Chlamydiae,Chlorobi,Chloroflexi,Chrysiogenetes,Coprothermobacterota,Cyanobacteria,Deferribacteres,Deinococcus.Thermus,Dictyoglomi,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermodesulfobacteria,Thermotogae,Unassigned,Verrucomicrobia,F_B_ratio,group
0.00666,0.41426,0.0015,0.00044,0.00012,63.61692,0.00016,0,6.00E-05,4.00E-05,2.00E-05,0.00042,0.00018,0.00042,0.00048,0.00554,0.00538,0.00016,2.00E-04,0.02178,0.00158,0.00574,0.00046,0.00064,0.00068,34.95364,0.01068,0.00048,0.00206,0.00088,0.00206,0.0142,0.8712,0.02914,0.0066,0.0069,0.00072,0.00392,2.00E-05,0.01366,0.549439363,favor-type
0.00104,0.17008,0.00114,8.00E-05,0.00014,83.31836,4.00E-05,0,1.00E-04,2.00E-04,4.00E-05,4.00E-05,8.00E-05,0,0.00078,0.00124,0.00656,2.00E-05,2.00E-05,0.00808,0.00102,0.0016,2.00E-05,0.00016,0.00032,16.22676,0.00618,2.00E-05,2.00E-04,0.00018,4.00E-04,0.00416,0.22802,0.01064,0.0022,0.00366,0.00028,0.00208,0,0.00406,0.194756114,unfavor-type
0.00206,0.19874,0.00034,0.00018,8.00E-05,81.99812,2.00E-05,0,8.00E-05,4.00E-05,2.00E-05,8.00E-05,2.00E-05,0.00014,0.00022,0.00134,0.0036,1.00E-04,0,0.00748,0.00066,0.00266,2.00E-05,0.00014,0.00028,17.4952,0.00392,4.00E-04,0.00024,0.00038,8.00E-04,0.00454,0.2504,0.00746,0.00686,0.0025,6.00E-05,0.0013,2.00E-05,0.0095,0.213360989,unfavor-type
0.00116,0.25934,0.00032,8.00E-05,0,81.73338,0,0,4.00E-05,4.00E-05,2.00E-05,0.00012,8.00E-05,2.00E-05,0.00018,0.00176,0.00188,0.00014,2.00E-05,0.00578,0.00086,0.0015,4.00E-05,3.00E-04,4.00E-05,17.74038,0.0048,0.00022,0.00016,0.00014,0.00088,0.00334,0.22594,0.00712,0.00208,0.00248,0.00034,0.0011,0,0.00392,0.217051834,unfavor-type
6.00E-04,0.1318,8.00E-05,0,3.00E-04,83.04348,2.00E-05,0,0,0,0,2.00E-05,2.00E-05,6.00E-05,8.00E-05,7.00E-04,0.00056,4.00E-05,0,0.00352,0.00036,0.0012,0.00014,0,0.00028,16.51466,0.00154,0.00016,1.00E-04,8.00E-05,2.00E-04,0.00142,0.28686,0.00312,0.00104,0.00142,1.00E-04,6.00E-04,0,0.00544,0.198867629,unfavor-type
0.00188,0.76766,0.00028,0.00014,0.00016,74.945,1.00E-04,2.00E-05,8.00E-05,2.00E-05,4.00E-05,0,0.00014,0.00018,0.00044,0.00154,0.0019,6.00E-05,4.00E-05,0.00556,0.00054,0.0047,6.00E-05,6.00E-05,0.00036,9.19582,0.00178,0.00038,0.00018,0.00046,6.00E-04,0.00556,0.3443,0.00724,0.00496,0.00128,2.00E-04,0.00044,0,14.70584,0.122700914,unfavor-type
0.00746,2.7602,0.00142,0.00084,0,61.27096,0.00042,0.00022,0.00056,0.00014,0.00012,0.00012,0.00018,0.01194,0.00146,0.00382,0.00866,0.00038,4.00E-05,0.02576,0.00152,0.01766,2.00E-04,0.00056,0.00052,26.85854,0.00812,0.00166,0.00056,0.00114,0.00166,0.0199,1.0906,0.02214,0.01572,0.00668,0.00068,0.00232,2.00E-05,7.8551,0.438356768,unfavor-type
0.0045,0.6647,0.00084,2.00E-04,2.00E-05,60.56924,0.00018,0.00026,0.00024,2.00E-05,6.00E-05,0.00018,0.00018,0.00878,0.00134,0.00308,0.0077,0.00028,4.00E-05,0.02076,0.001,0.00788,0.00034,0.00058,0.001,36.3085,0.01314,0.00064,0.00078,0.00054,0.00102,0.0102,0.70848,0.0229,0.00656,0.01056,0.00048,0.00464,2.00E-05,1.61814,0.599454443,unfavor-type
0.00164,0.60124,0.00026,0.00032,0.00012,66.01536,8.00E-05,0,0.00046,0,4.00E-05,6.00E-05,0.00016,0,0.00062,0.0011,0.00268,0.00018,2.00E-05,0.0101,0.00028,0.00328,8.00E-05,8.00E-05,0.00058,32.0653,0.0039,0.00026,0.00028,0.00044,0.00098,0.0055,1.26144,0.00832,0.00292,0.00298,0.00032,8.00E-04,0,0.00782,0.485724837,unfavor-type
0.00526,0.45508,0.00202,0.00056,4.00E-04,74.06298,0.00022,6.00E-05,0.00026,2.00E-05,0.00018,0.00018,0.00026,0.00448,0.00124,0.00322,0.00768,0.00024,4.00E-05,0.02292,0.00154,0.00904,0.00032,0.00048,0.00062,24.31974,0.01722,0.00142,0.00074,0.00078,0.00156,0.01386,0.99208,0.02168,0.01016,0.02234,7.00E-04,0.00496,0.00012,0.01334,0.328365669,unfavor-type
