,CPM,logFC,signif,name,col,Richess,logCPM
3792,1.57554057,-0.220203337,TRUE,s__Micromonospora_endophytica_(Xie_et_al._2001)_Li_et_al._2019,favor-type,Different abundant taxa,0.655846904
3793,0.774979035,-0.315033639,TRUE,s__Flavobacterium_sp._GENT5,Non_sig,Different abundant taxa,-0.367770812
3794,2.336904087,-0.289950854,TRUE,s__Acinetobacter_haemolyticus,favor-type,Different abundant taxa,1.224598523
3795,2.44022302,-0.202715849,TRUE,s__Sphaerotilus_natans,favor-type,Different abundant taxa,1.287013006
3796,1.659433911,-0.221686669,TRUE,s__Kurthia_zopfii,favor-type,Different abundant taxa,0.730691174
3797,0.509841708,-0.363702716,TRUE,s__Polynucleobacter_sp._Adler-ghost,Non_sig,Different abundant taxa,-0.971878696
3798,0.347868234,-0.400454732,TRUE,s__Mycoplasma_parvum,Non_sig,Different abundant taxa,-1.52338715
3799,2.08486787,-0.219638554,TRUE,s__Methylovorus_sp._MP688,favor-type,Different abundant taxa,1.059955955
3800,1.166684559,-0.225002489,TRUE,s__Candidatus_Filomicrobium_marinum,favor-type,Different abundant taxa,0.222414546
3801,83.29737376,-0.192893559,TRUE,s__Streptococcus_suis,favor-type,Different abundant taxa,6.380199105
3802,2.422922382,0.23755623,TRUE,s__Pedobacter_ginsengisoli,unfavor-type,Different abundant taxa,1.276748189
3803,2.279808454,-0.176640689,TRUE,s__Methylomonas_denitrificans,favor-type,Different abundant taxa,1.188912617
3804,1.648402888,-0.251019848,TRUE,s__Janthinobacterium_sp._B9-8,favor-type,Different abundant taxa,0.721068896
3805,1.722455254,-0.213943878,TRUE,s__Hydrogenophaga_sp._YM1,favor-type,Different abundant taxa,0.784466505
3806,1.547825723,-0.218889226,TRUE,s__Dermatophilus_congolensis,favor-type,Different abundant taxa,0.63024304
3807,3.81765771,-0.18713599,TRUE,s__Streptomyces_hygroscopicus,favor-type,Different abundant taxa,1.932687757
3808,0.510863998,-0.315287962,TRUE,s__Candidatus_Vallotia_lariciata,Non_sig,Different abundant taxa,-0.968988827
3809,1.127519084,-0.224350639,TRUE,s__Microbacterium_sp._SSW1-36,favor-type,Different abundant taxa,0.173151852
3810,3.465623419,-0.193308391,TRUE,s__Hymenobacter_sedentarius,favor-type,Different abundant taxa,1.793114897
3811,2.579992821,-0.162189035,TRUE,s__Nocardia_terpenica,favor-type,Different abundant taxa,1.367367051
3812,2.642530449,-0.315201728,TRUE,s__Variovorax_sp._PBL-E5,favor-type,Different abundant taxa,1.401920096
3813,0.722911631,-0.321010696,TRUE,s__Bacillus_sp._WP8,Non_sig,Different abundant taxa,-0.468108792
3814,2.517752839,-0.202177719,TRUE,s__Ignavibacterium_album,favor-type,Different abundant taxa,1.332136665
