bacter_tsne1,bacter_tsne2,Group
-4.530235032,-6.038397122,favor-type
-7.114433587,6.408939144,unfavor-type
-4.519347875,0.889637414,unfavor-type
-5.306585474,2.951087563,unfavor-type
14.62210146,-1.635848392,unfavor-type
2.244169501,11.59633205,favor-type
-1.446012452,-0.932647928,favor-type
5.336942395,9.266642435,unfavor-type
-4.490887453,-1.872450496,favor-type
12.83727182,-3.679995276,unfavor-type
3.261812367,2.740547377,favor-type
3.308984487,2.575846689,favor-type
-9.747624938,-8.753117207,unfavor-type
-0.238156443,10.22139585,favor-type
-3.203669524,1.729489525,favor-type
10.2633898,-3.236480511,unfavor-type
-3.401875694,-2.682491774,favor-type
12.560774,5.350850092,favor-type
-1.441140402,0.515207587,favor-type
0.148108696,-6.202177052,favor-type
-12.59966342,-13.17298291,favor-type
-5.422285282,7.760927727,favor-type
-7.682459221,-1.316631578,unfavor-type
4.239840363,6.815341037,unfavor-type
-9.017782891,-10.90469334,favor-type
5.843803815,-0.521417978,favor-type
5.695802307,-6.441142721,favor-type
-5.839966814,0.562138828,unfavor-type
-3.196051134,4.860977132,unfavor-type
8.906407642,10.325356,unfavor-type
9.117880948,0.398811484,favor-type
-11.04733677,-11.36279212,favor-type
5.520854793,-1.066694649,favor-type
4.054247662,-6.32580597,favor-type
-4.179365668,10.85892922,unfavor-type
-12.76429313,-12.52254192,unfavor-type
-9.491000073,-7.536353609,favor-type
-12.37961466,-10.52941822,unfavor-type
0.595477792,-0.253597377,favor-type
12.23072487,-2.702190294,favor-type
-7.326954967,-6.627107587,unfavor-type
-9.895880082,-8.329411611,unfavor-type
3.914443023,2.107413821,favor-type
12.88762002,-3.889074203,unfavor-type
2.839465145,5.481856386,unfavor-type
4.410059556,10.82689374,unfavor-type
-8.651958225,0.276322654,unfavor-type
2.396837745,5.143431409,unfavor-type
-3.856635412,9.825796526,favor-type
5.866629041,-3.123721973,favor-type
4.750573642,-3.098595061,favor-type
4.205495123,-4.374933865,favor-type
5.35406674,4.277329214,unfavor-type
12.26870074,2.201159822,unfavor-type
-4.038559859,10.87752184,unfavor-type
6.156705841,7.976547287,unfavor-type
6.52395073,-3.770005753,favor-type
10.20947749,-5.026923325,favor-type
-2.037661606,-6.944517416,favor-type
-1.585567404,8.828665331,favor-type
-14.32934375,-13.92446126,unfavor-type
-10.98895504,4.394672168,unfavor-type
-7.779647466,1.167126788,unfavor-type
-6.346671377,4.549570046,unfavor-type
-15.81013432,-12.23325206,favor-type
6.902149729,0.921024957,unfavor-type
13.62000859,3.572198475,favor-type
10.93010696,-2.290998909,unfavor-type
6.74689975,1.106631432,unfavor-type
-7.712358888,1.189665679,unfavor-type
2.836626699,6.894495625,unfavor-type
7.864525084,2.390367811,unfavor-type
7.405971621,4.592228441,unfavor-type
-6.838996829,0.140175422,unfavor-type
5.959037077,13.15708441,unfavor-type
9.343039011,-5.673470138,unfavor-type
-15.58929814,-14.45906345,favor-type
-0.588391755,-3.652718267,favor-type
-9.633939797,-10.31508434,favor-type
-16.49303447,-13.13803256,favor-type
9.457673649,-7.605506575,favor-type
16.17214877,0.634132973,favor-type
13.58162985,3.762749378,favor-type
-5.426699073,-11.47998943,favor-type
-14.2861544,-10.36607025,favor-type
10.90769457,1.770072989,unfavor-type
2.350092295,12.62730868,favor-type
14.88990524,5.141693426,favor-type
0.727592583,2.281181445,favor-type
12.8767419,-0.994209291,favor-type
2.728764285,13.45184072,favor-type
10.40351152,7.017457788,favor-type
9.494282752,1.151221794,favor-type
-1.934397707,-5.474139435,favor-type
7.575446236,-1.142116884,unfavor-type
-6.143850708,0.303214672,unfavor-type
-14.75630042,-12.05235024,favor-type
-4.228063369,-4.793419172,favor-type
1.590181249,12.97355462,favor-type
1.593610799,13.01380123,favor-type
3.092010051,-3.868895071,favor-type
-2.393866804,-2.920788275,favor-type
-5.922306153,-2.339613853,unfavor-type
-1.812767415,9.699534709,unfavor-type
-0.993222555,-2.837352787,favor-type
-5.558004193,-2.958447799,favor-type
6.729407699,0.152055246,favor-type
-5.948828882,1.952068996,favor-type
-5.945241942,1.892228789,favor-type
-1.973923029,-2.806232252,unfavor-type
-3.511816889,-1.608528738,unfavor-type
-3.675477481,-5.002331709,favor-type
-9.759257973,0.050872313,favor-type
-0.682253452,9.210594961,favor-type
-3.988794318,-2.323197557,favor-type
0.719496658,8.31331017,unfavor-type
-2.758802528,-0.280292272,unfavor-type
-12.36823498,5.982757843,unfavor-type
6.146090139,1.276989011,unfavor-type
-6.459673853,-5.605465834,favor-type
16.67441323,-5.131667258,unfavor-type
-1.005697709,14.17843168,favor-type
-1.853465347,7.861686926,favor-type
-6.558739068,2.07995388,unfavor-type
-7.762030504,-1.368831469,unfavor-type
-0.988341303,-2.552725479,unfavor-type
-2.549839024,-3.885345145,favor-type
-1.574932288,-8.082823672,favor-type
-1.32067484,-2.423159101,unfavor-type
-1.423464301,7.37321696,favor-type
-6.496567377,4.192295961,unfavor-type
12.76867403,1.333411697,unfavor-type
1.572662201,-1.661296051,unfavor-type
15.07869295,-3.329018544,unfavor-type
-7.818394793,-1.983568131,unfavor-type
-9.045509857,-1.347441771,favor-type
-6.309650092,-1.759427942,unfavor-type
9.857953031,-2.830871316,unfavor-type
-10.9770358,-11.34225896,favor-type
0.793047868,0.254499995,unfavor-type
0.164059687,-0.573765094,unfavor-type
3.815184261,0.494627235,unfavor-type
-8.296422107,-1.227751734,unfavor-type
6.552983001,6.24321091,favor-type
-11.00479096,-11.86289013,favor-type
7.648431334,9.499090521,unfavor-type
7.131360085,-3.13565154,favor-type
-7.311087079,-1.512720402,unfavor-type
-11.81959977,1.77211061,favor-type
-6.793623508,-0.155349474,unfavor-type
-1.800178319,11.73918539,favor-type
-7.639381734,-6.791615444,favor-type
-0.515869801,-1.109002049,favor-type
-2.925192208,-4.78820806,favor-type
8.664560846,6.297152595,favor-type
8.580307066,0.566486877,unfavor-type
-0.152257517,5.773545321,favor-type
2.861534889,0.903451541,unfavor-type
2.827566767,0.60683117,favor-type
-10.02551343,-1.73487625,unfavor-type
-6.553255057,-0.564645457,unfavor-type
-12.59905889,0.089556091,unfavor-type
15.09974469,-5.826043215,unfavor-type
14.98579656,-5.761591114,unfavor-type
