Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	Fisher	Pielou	Coverage
SRR15372891	524	573.137931034483	14.7928052279731	567.599680311376	11.5284059227258	4.78464350656391	0.96948922	32.7753010575279	117.635270576264	0.764137963888828	0.9924
SRR15372892	561	602.418181818182	13.2083208261167	593.845856692603	11.7719397115665	4.98398159807806	0.9745455	39.2857844389008	128.445983545178	0.78739357903277	0.9932
SRR15372893	579	622.359375	13.1871711549727	615.239063157517	11.6510196007611	4.94595991707592	0.97419228	38.7480955311046	133.802754023397	0.777507426272069	0.9925
SRR15372894	562	588.16393442623	9.27906877248355	584.355204947525	11.2061593766889	4.69593897470706	0.9633598	27.2924274430816	128.741915570899	0.741678528418326	0.9943
SRR15372895	440	514.166666666667	20.5271883567034	509.687621591092	11.0787168982613	4.49549469554845	0.96469802	28.3270230168393	94.1135190649758	0.738567615402603	0.991
SRR15372896	533	590.454545454545	16.8381626170881	578.908387840595	11.6134360840791	4.76588438946632	0.96914212	32.4066332489465	120.239935501383	0.759077506866915	0.992
SRR15372897	509	568.701754385965	17.1757209411698	560.779819264398	11.5008691783812	4.74089997502675	0.97056582	33.9741076530754	113.330093809847	0.76068022748639	0.9917
SRR15372898	445	492.042553191489	15.0747743819008	483.099756247972	10.5602577746065	4.59641643646951	0.97059132	34.0035662940329	95.4731426648183	0.753748843288394	0.9933
SRR15372899	505	562	17.145307711221	546.707312649779	11.2224167493185	4.83899615511183	0.97600814	41.6808034058218	112.189661657598	0.777403925128737	0.9924
SRR15372900	602	638.590909090909	11.5840009611966	633.748553189241	11.9256883575758	5.10849593134432	0.97925306	48.1998791147032	140.739525236846	0.798170382206841	0.993
SRR15372901	581	610.590909090909	9.95745150699115	608.985152237965	11.5981491436704	4.93467257881255	0.97255164	36.4320491278896	134.401862773853	0.775312776152338	0.9937
SRR15372902	526	559.548387096774	11.0342339842491	557.224447945881	11.0458011710506	4.43439719891764	0.9467765	18.7886929645739	118.212691197458	0.707770791594546	0.9935
SRR15372903	578	620.203125	12.9303830271699	612.478754833726	11.5780561365543	4.80766930361116	0.96895434	32.2106213879814	133.503492474445	0.755973498050555	0.9926
SRR15372904	596	614.092307692308	7.09440179537809	615.672482592515	11.7152751452995	5.10221309947565	0.97767638	44.7956021469636	138.920018995219	0.798438332029016	0.9951
SRR15372905	587	620.549019607843	11.5244116796529	611.450835585645	11.6894243465558	5.01053017211478	0.97378968	38.1529107618678	136.203869521516	0.785962457201836	0.9941
SRR15372906	576	619.846153846154	13.2477283623146	615.766315385608	11.9621487123432	4.95067562249477	0.9703988	33.7824142264503	132.905555361652	0.778884796604083	0.9924
SRR15372907	604	636.903846153846	11.313421712883	626.900141755372	11.8740287779387	5.15850017688539	0.97795844	45.368839592116	141.347578335437	0.805565769589901	0.9941
SRR15372908	601	647.681818181818	13.818645095794	638.491464552535	11.6689965676038	4.74798745702726	0.96149784	25.9725688117238	140.43578935462	0.742035947829873	0.9921
SRR15372909	544	587.029411764706	12.9347615731609	587.945330571896	11.6963790863796	4.76860071332915	0.96596012	29.3773068530206	123.445262282994	0.757047013152129	0.9923
SRR15372911	432	486.887096774194	15.8003104064098	492.049854973961	10.8009058847858	4.42913092408813	0.96421734	27.9464969904417	91.9489098682593	0.729864914660624	0.9917
SRR15372912	590	624.08	10.7142369590774	622.944406763692	11.3542491635664	4.48368131673887	0.94018714	16.7188126433011	137.107502474667	0.702757868803815	0.9928
SRR15372913	501	553.714285714286	15.2757222786304	549.596226411352	11.145350556768	4.58785723573248	0.9507483	20.3038676837551	111.052449721937	0.738000310962576	0.9918
SRR15372914	550	596.470588235294	13.678644732119	591.850420709619	11.305263323515	4.64825329211414	0.96386886	27.6769567746824	125.203715677438	0.736658239799041	0.992
