Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Atribacterota	Bacteroidetes	Balneolaeota	Caldiserica	Calditrichaeota	Candidatus_Absconditabacteria	Candidatus_Bipolaricaulota	Candidatus_Cloacimonetes	Candidatus_Omnitrophica	Candidatus_Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Unassigned	Verrucomicrobia	F_B_ratio
SRR15372875	0.0016983635628958	1.66013565703501	0.000274879651798164	6.87199129495411e-05	5.89027825281781e-05	83.9543911828032	0.000304331043062254	1.9634260842726e-05	0.000166891217163171	7.85370433709041e-05	5.89027825281781e-05	4.90856521068151e-05	4.90856521068151e-05	0.00042213660811861	0.000736284781602226	0.00140384965025491	0.00322983590862843	0.000127622695477719	0	0.0106319522463361	0.000971895911714939	0.00325928729989252	5.89027825281781e-05	0.00019634260842726	0.000255245390955438	13.903432422212	0.00738248207686499	0.000206159738848623	0.00019634260842726	0.000255245390955438	0.000481039390646788	0.00390721790770248	0.4033368033617	0.0199974946683165	0.00487911381941742	0.0030531275610439	0.000451587999382699	0.00101116443340039	0	0.0127622695477719	0.165606970955677
SRR15372876	0.00615987140260991	0.791039747433759	0.00159753674226566	0.000302236680969178	0.000158314451936236	60.9638155049432	0.00112259338645695	2.87844458065884e-05	0.000359805572582355	0.000201491120646119	0.000100745560323059	0.000100745560323059	0.000215883343549413	0.0156299540729775	0.00089231782000424	0.00414496019614873	0.00590081139035062	0.000302236680969178	4.31766687098826e-05	0.0265392590336745	0.00145361451323271	0.0108661282919871	0.00017270667483953	0.000215883343549413	0.00145361451323271	36.4039764560504	0.0132984139626438	0.00130969228419977	0.00103624004903718	0.000633257807744945	0.00156875229645907	0.0155723851813643	1.66873506896825	0.0217178643610709	0.011153972750053	0.00512363135357273	0.000460551132905414	0.00234593233323695	5.75688916131768e-05	0.0201922887333218	0.597140716251571
SRR15372877	0.00156406006104384	3.40802051895134	0.000445520138600367	8.53123669660278e-05	3.79166075404568e-05	79.3698108160346	0.000189583037702284	1.89583037702284e-05	0.000104270670736256	3.79166075404568e-05	1.89583037702284e-05	6.63540631957994e-05	3.79166075404568e-05	0.00354520280503271	0.000312812012208768	0.000995310947936991	0.00226551730054229	0.000284374556553426	0	0.00736530101473373	0.000492915898025938	0.00205697595906978	4.7395759425571e-05	0.000104270670736256	0.000161145582046941	16.0638068255012	0.0034693695899518	0.00018010388581717	0.000236978797127855	0.000218020493357627	0.000284374556553426	0.00302384945135143	1.11461555356304	0.00573488689049409	0.00306176605889189	0.00210437171849535	0.000303332860323654	0.000777290454579364	3.79166075404568e-05	0.0040760353105991	0.202391900148714
SRR15372878	0.00199222261418554	0.679213301801176	0.00027819324792681	0.000197427466270639	3.5895902958298e-05	82.105632129992	0.000251271320708086	8.07657816561706e-05	0.000107687708874894	4.48698786978725e-05	2.69219272187235e-05	1.7947951479149e-05	0.000125635660354043	0.00883936610348089	0.000753813962124259	0.00180376912365448	0.00173197731773788	0.000143583611833192	8.97397573957451e-06	0.00810350009283578	0.000134609636093618	0.0027460365763098	0.000152557587572767	0.000224349393489363	0.000215375417749788	15.7879603885121	0.00317678741180938	0.000332037102364257	0.000233323369228937	0.000305115175145533	0.000556386495853619	0.00445109196682895	0.656589908961708	0.00612025145438981	0.00311396958163235	0.00272808862483065	0.000233323369228937	0.000960215404134472	0	0.720376928518604	0.192288397019052
SRR15372879	0.00545235084060209	1.10122446012326	0.00151663092347782	0.000726980112080279	7.52048391807185e-05	66.4203624622566	0.000188012097951796	5.01365594538123e-05	6.26706993172654e-05	2.50682797269062e-05	0.000100273118907625	0.000112807258771078	0.000275751076995968	0.00279511318955004	0.000526433874265029	0.00265723765105205	0.00711939144244135	0.000225614517542155	2.50682797269062e-05	0.0178360810256937	0.000965128769485887	0.00991450463199139	0.000125341398634531	0.000388558335767045	0.000877389790441716	28.481551626242	0.00775863257547746	0.00116567500730114	0.000551502153991936	0.000764582531670638	0.00132861882552603	0.0139504976680233	3.87371352721976	0.0196284630261675	0.00909978554086694	0.00443708551166239	0.000438694895220858	0.00156676748293163	3.76024195903592e-05	0.0103782678069392	0.428807530859631
SRR15372880	0.00440520763734803	1.01203849142232	0.000722835928109739	0.000477344480827186	0.000245491447282553	74.0957697595725	0.000259129861020472	0	0.000313683515972151	2.72768274758392e-05	9.54688961654372e-05	8.18304824275176e-05	8.18304824275176e-05	0.000927412134178533	0.000995604202868131	0.0033414113657903	0.00574177218366415	0.000272768274758392	1.36384137379196e-05	0.0165297574503586	0.00115926516772317	0.00669646114531853	6.8192068689598e-05	0.000286406688496312	0.000627367031944302	23.814470657021	0.0104197480957706	0.000422790825875508	0.000750112755585578	0.000654643859420141	0.00155477916612283	0.0122882107778656	0.961139931352408	0.0231034728720358	0.00786936472677961	0.00451431494725139	0.000777389583061417	0.00235944557666009	2.72768274758392e-05	0.00846945493124807	0.321401218103203
SRR15372881	0.00537289911960722	0.42473222870929	0.000432563912171768	0.00072852869418403	0.00012521586931288	74.5979233061907	0.00012521586931288	4.55330433865019e-05	0.000295964782012262	0.000102449347619629	2.27665216932509e-05	5.69163042331274e-05	0.000113832608466255	0.0048265025989692	0.000887894346036787	0.00325561260213489	0.00613557759633113	0.000193515434392633	1.13832608466255e-05	0.020182521481067	0.00130907499736193	0.00779753367993845	7.96828259263783e-05	0.000261814999472386	0.00121800891058893	21.8137996766926	0.00711453802914092	0.00140014108413493	0.000762678476723907	0.00101311021534967	0.00124077543228218	0.0126923358439874	2.39779283125488	0.0176099045297296	0.0732399002871883	0.00422318977409805	0.00047809695555827	0.00273198260319011	4.55330433865019e-05	0.58961876207266	0.292418323592694
SRR15372882	0.0187138702912219	3.03958788762793	0.00146231033927451	0.00201761806304964	0.000240633346969223	59.8480122760027	0.00394268483880342	0.000407225664101762	0.000869982100581037	3.7020514918342e-05	0.000148082059673368	0.000351694891724249	0.00055530772377513	0.000888492358040208	0.00148082059673368	0.00997702877049317	0.0193617293022929	0.000888492358040208	7.4041029836684e-05	0.0522174362923214	0.00209165909288632	0.0308565991844381	0.000333184634265078	0.000684879525989327	0.00196208729067213	33.2307803369237	0.0188619523508952	0.00438693101782353	0.00129571802214197	0.00379460277913005	0.00309121299568156	0.043628676831266	3.29617707652696	0.0472937078081819	0.152228357344222	0.015585636780622	0.000777430813285182	0.00575669006980218	0.000314674376805907	0.138863951458701	0.555252865937675
SRR15372883	0.00141882209389765	0.652306835817285	0.000310789601520437	0.000162151096445445	0	23.8824918029243	0	0	0.00021620146192726	1.35125913704538e-05	0	2.70251827409075e-05	0	0.000229714053297714	0.00021620146192726	0.000999931761413579	0.00197283834008625	4.05377741113613e-05	0	0.0053780113654406	0.000243226644668168	0.00145935986800901	6.75629568522689e-05	0.000121613322334084	9.45881395931764e-05	17.5524508124783	0.00218903980201351	0.00021620146192726	0.000270251827409075	0.000162151096445445	0.000472940697965882	0.00299979528424074	0.200391730023829	0.00613471648218601	0.00244577903805213	0.00117559544922948	0.00010810073096363	0.00060806661167042	0	57.6826040925586	0.73495056367314
SRR15372884	0.00671342451462504	0.731441285306857	0.00107865573736182	0.000482980180908276	1.60993393636092e-05	71.321409625956	0.000756668950089633	0	0.000676172253271587	4.82980180908276e-05	9.65960361816553e-05	0.000144894054272483	0.000193192072363311	0.0179668627297879	0.000482980180908276	0.00392823880472065	0.00927321947343891	0.000289788108544966	1.60993393636092e-05	0.0208325451365103	0.0010464570586346	0.0131853589387959	9.65960361816553e-05	0.000482980180908276	0.000917662343725725	10.3548696879224	0.00441121898562892	0.000982059701180162	0.000305887447908575	0.00111085441608904	0.00178702666936062	0.0143284120336122	2.89216581997558	0.018498140928787	0.0117847164141619	0.00695491460507918	0.000466880841544667	0.00212511279599642	3.21986787272184e-05	14.5586003878331	0.145185993129248
