Ascomycota	Basidiomycota	Chytridiomycota	Cryptomycota	Microsporidia	Mucoromycota	Zoopagomycota	B_A_ratio
SRR15372954	75.02	13.46	1.38	0.19	5.48	3.98	0.49	0.179418821647561
SRR15372955	70.55	21.35	1.49	0.13	1.9	4.44	0.14	0.302622253720765
SRR15372956	68.78	11.11	1.19	0.07	12.62	5.96	0.27	0.161529514393719
SRR15372957	73.18	15.32	2	0.12	5.73	3.47	0.18	0.209346816069964
SRR15372958	77.8	12.74	1.58	0.01	4.25	3.49	0.13	0.163753213367609
SRR15372959	70.75	16.91	1.39	0.06	7.13	3.27	0.49	0.239010600706714
SRR15372960	74.55	13.95	1.31	0.03	5.29	4.79	0.08	0.187122736418511
SRR15372961	66.48	9.08	1.35	0.01	17.62	5.21	0.25	0.136582430806258
SRR15372962	77.26	12.79	0.91	0.57	4.84	3.54	0.09	0.165544913279834
SRR15372963	71.98	14.11	1.09	0.09	7.24	5.28	0.21	0.196026674076132
SRR15372964	78.08	13.08	1.47	0.01	3.13	4.05	0.18	0.167520491803279
SRR15372965	71.59	14.72	1.7	0.03	7.51	3.87	0.58	0.205615309400754
SRR15372966	67.06	12.2	0.88	0.06	16.03	3.31	0.46	0.18192663286609
SRR15372968	83.93	9.26	1.89	0.02	2.13	2.68	0.09	0.110330036935542
SRR15372969	87	6.66	1.03	0.04	2.26	2.93	0.08	0.076551724137931
SRR15372970	77.46	12.1	0.73	0.01	5.59	3.77	0.34	0.156209656596953
SRR15372971	70.79	14.99	1.83	0.02	8.19	3.8	0.38	0.211753072467863
SRR15372972	76.18	14.73	1.74	0	3.57	3.56	0.22	0.193357836702547
SRR15372973	75.61	13.49	1.93	0.08	4.78	3.9	0.21	0.178415553498215
SRR15372974	81.87	8.04	3.01	0	2.9	4	0.18	0.0982044705020154
SRR15372975	69.42	14.54	1.92	0.01	9.97	3.84	0.3	0.209449726303659
SRR15372976	73.58	12.97	1.99	0.08	7.21	3.98	0.19	0.17627072574069
SRR15372977	73.43	14.48	1.89	0.03	6.13	3.83	0.21	0.197194607108811
SRR15372978	72.12	16.89	0.84	0.05	6.17	3.75	0.18	0.234193011647255
SRR15372979	72.84	10.03	2.92	0.03	9.72	4.44	0.02	0.137699066447007
SRR15372980	70.51	16.21	1.36	0.05	6.88	4.51	0.48	0.229896468586016
SRR15372981	76.51	12.02	2.1	0.03	4.39	4.71	0.24	0.157103646582146
SRR15372982	71.98	16.51	1.63	0.07	5.87	3.61	0.33	0.229369269241456
SRR15372983	74.31	12.33	1.07	0.1	9.38	2.68	0.13	0.165926524020993
SRR15372984	78.2	11.89	1.05	0.05	2.43	6.27	0.11	0.152046035805627
SRR15372985	76.34	13.52	0.66	0.02	6.35	2.43	0.68	0.177102436468431
SRR15372986	73.52	12.86	1.3	0.02	7.63	4.28	0.39	0.174918389553863
SRR15372987	75.19	11.77	1.89	0.08	7.45	3.29	0.33	0.156536773507115
SRR15372988	82.45	11.58	0.76	0.02	3.02	2.01	0.16	0.140448756822317
SRR15372989	77.88	13.83	1.49	0.01	3.54	3.18	0.07	0.177580893682589
SRR15372990	69.48	8.19	0.48	0.01	20.24	1.42	0.18	0.117875647668394
SRR15372991	76.77	10.78	2.64	0.06	5.62	3.94	0.19	0.140419434675003
SRR15372992	92.01	5.18	0.17	0.01	0.38	2.25	0	0.056298228453429
SRR15372993	73.75	15.07	1.82	0.13	4.44	4.49	0.3	0.204338983050847
SRR15372994	75.82	11.79	2.57	0.02	3.47	6.17	0.16	0.155499868108678
SRR15372995	73.29	15.21	1.04	0.06	6.57	3.45	0.38	0.207531723291036
SRR15372996	69.2	14.94	1.29	0.16	8.98	5.21	0.22	0.215895953757225
SRR15372997	78.57	12.9	1.7	0.06	4.02	2.62	0.13	0.164184803360061
SRR15372998	73.27	13.89	0.9	0.03	8.06	3.48	0.37	0.189572812883854
SRR15372999	72.89	16.03	1.33	0.01	5.78	3.73	0.23	0.219920428042255
SRR15373000	75.73	11.88	1.5	0.01	6.51	4.19	0.18	0.156873101809059
SRR15373001	72.45	16.7	0.72	0.05	6.14	3.35	0.59	0.230503795721187
SRR15373002	72.37	14.28	1.55	0.08	8.01	3.3	0.41	0.197319331214592
