"","path_ID","fc","auroc","p.val","p.adj","cohen.d"
"15","GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0.0941048090631432,0.636345136345136,1.92146020217542e-10,2.10576352769021e-09,0.46804038906427
"16","GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation",0.15388483800537,0.651487058894466,1.48378486738687e-12,2.04305762509422e-11,0.496423477669039
"17","GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",0.160614608012795,0.672274227829783,8.59468088162094e-16,1.77513216670402e-14,0.674639172149228
"18","GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",-0.147943179385964,0.32339197154012,2.22044604925031e-16,4.96824803519758e-15,-0.592090141806003
"19","HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)",-0.0884925119829444,0.392495364717587,4.89894015354153e-07,3.55504170601595e-06,-0.335575812567902
"20","HEMESYN2-PWY: heme biosynthesis II (anaerobic)",-0.102723037064807,0.400134159393419,3.07958168477285e-06,2.01675044478417e-05,-0.33991943239573
"21","HSERMETANA-PWY: L-methionine biosynthesis III",0.0926077039075224,0.626501756131386,3.46723041122641e-09,3.3852776924156e-08,0.30144233265698
"22","MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis",0.0820993340208734,0.59421305717602,1.08316237883906e-05,6.46286886040637e-05,0.30026334641942
"23","NAGLIPASYN-PWY: lipid IVA biosynthesis",-0.106479281613262,0.402493254345106,5.17172828495838e-06,3.34604589038873e-05,-0.362414615927711
"24","NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)",0.0808772312448509,0.623358808543994,8.30642310458914e-09,7.69060208131788e-08,0.378367366443852
"25","P124-PWY: Bifidobacterium shunt",0.0543759242342627,0.612987835210057,6.26671078600323e-11,7.16005040868879e-10,0.293817932256894
"26","P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)",0.089378152262812,0.614841948175281,8.13635056878223e-08,6.42532390505303e-07,0.146813555578737
"27","PANTO-PWY: phosphopantothenate biosynthesis I",-0.0329475422470584,0.396832933869971,1.44980709859688e-06,9.8550178727408e-06,-0.296660336957775
"28","PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",-0.0977146314438684,0.392024299431707,4.59243717720881e-07,3.37827227967278e-06,-0.375809192237061
"29","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",0.0972517496845361,0.623464327168031,8.12033493088925e-09,7.65021027699566e-08,0.334156791006119
"30","PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",0.0837843264959522,0.635316329760774,2.62449754391092e-10,2.76344153152974e-09,0.443129323668875
"31","PWY-1042: glycolysis IV (plant cytosol)",0.0548076045987143,0.627813201887276,2.36984552023962e-09,2.35667971179385e-08,0.254008164083136
"32","PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I",-0.160882310695923,0.33413979710276,9.32587340685131e-15,1.78856929267113e-13,-0.508087151760412
"33","PWY-3001: superpathway of L-isoleucine biosynthesis I",0.0731167659037135,0.708791208791209,1.82995504022458e-22,1.09187317400067e-20,0.730058575628217
"34","PWY-3841: folate transformations II",-0.0689182882504871,0.353336649632946,7.34989846762346e-12,9.17882669096232e-11,-0.403759647011136
"35","PWY-4984: urea cycle",-0.100699504337104,0.405161368124331,9.46337963325661e-06,5.70992681242562e-05,-0.343394150329814
"36","PWY-5100: pyruvate fermentation to acetate and lactate II",0.151902306061383,0.715853419557123,6.7294694690611e-24,4.51715638110727e-22,0.751392247428309
