"","KO","KO_ID","fc","auroc","p.val","p.adj","cohen.d","ID","L1","id1","L2","id2","L3","gene","protein","EC"
"3806","K07639","K07639",-0.033125511327991,0.410181039810669,2.71863288976437e-05,0.000157299078805964,-0.265785511885595,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","rstB"," two-component system, OmpR family, sensor histidine kinase RstB ","EC:2.7.13.3"
"3809","K07640","K07640",-0.06126018716888,0.418313510906104,0.000136180451520751,0.000634750735806878,-0.306681953266458,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","cpxA"," two-component system, OmpR family, sensor histidine kinase CpxA ","EC:2.7.13.3"
"3813","K07641","K07641",-0.0442655420996852,0.43059512503957,0.00118843805207636,0.00406029348444307,-0.265413539393855,"A09180","Brite Hierarchies",9181,"Protein families: metabolism",1001,"Protein kinases [BR:ko01001","creC"," two-component system, OmpR family, sensor histidine kinase CreC ","EC:2.7.13.3"
"3816","K07642","K07642",-0.0396011990498835,0.431439274031867,0.00136385991393451,0.00459179039361856,-0.259991447298799,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","baeS, smeS"," two-component system, OmpR family, sensor histidine kinase BaeS ","EC:2.7.13.3"
"3819","K07643","K07643",-0.0246439242883469,0.437804308174679,0.00366727622325813,0.0111031788490353,-0.212088774693251,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","basS"," two-component system, OmpR family, sensor histidine kinase BasS ","EC:2.7.13.3"
"3823","K07644","K07644",-0.0294542059561547,0.447218076847706,0.0136866580114703,0.0358236763921728,-0.224538104110607,"A09180","Brite Hierarchies",9181,"Protein families: metabolism",1001,"Protein kinases [BR:ko01001","cusS, copS, silS"," two-component system, OmpR family, heavy metal sensor histidine kinase CusS ","EC:2.7.13.3"
"3827","K07649","K07649",-0.00312092198631188,0.417650250983584,0.000105794071129983,0.000511358104253369,-0.171260869937543,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","tctE"," two-component system, OmpR family, sensor histidine kinase TctE ","EC:2.7.13.3"
"3830","K07654","K07654",0.0095295694679798,0.562760970168378,0.00335354028582562,0.0102577429903689,0.261088760757886,"A09180","Brite Hierarchies",9181,"Protein families: metabolism",1001,"Protein kinases [BR:ko01001","mtrB"," two-component system, OmpR family, sensor histidine kinase MtrB ","EC:2.7.13.3"
"3833","K07657","K07657",-0.0829480058521585,0.422244079651487,0.000281987489795243,0.00117777639028833,-0.305758236982615,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","phoB"," two-component system, OmpR family, phosphate regulon response regulator PhoB",""
"3835","K07658","K07658",0.164428368214893,0.71001221001221,1.04178633945812e-22,4.09146842562657e-21,0.767306889756451,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","phoB1, phoP"," two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP",""
