donor_origin_clust,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance,S1_or_S4
Donor_origin_clust2,3549,4203.111111,10.95175261,0.908690414,2.801252391,348.8319608,4,0.189011396,0.342685107,0.00308587,0.190309381,0.02972829,0.143530347,0.279443985,1312306,0.143530347,0.091309586,0.89234081,0.997649286,2.061420754,0.039522672,0.036049653,S1
Donor_origin_clust2,2327,3233.844504,7.529965112,0.86719726,2.425591301,219.1129845,3,0.430898246,0.312885247,0.003235911,0.171761985,0.026602139,0.211092003,0.396579591,1893985,0.211092003,0.13280274,0.933124097,0.998617456,2.061419063,0.022569191,0.021304523,S4
Donor_origin_clust2,5517,5909.053903,11.43100987,0.912518665,3.076989157,576.427671,4,0.022593248,0.357142033,0.002071961,0.218758649,0.03616204,0.171137965,0.318451841,1414821,0.171137965,0.087481335,0.879573908,0.994691661,2.061422332,0.062154649,0.067803642,S4
Donor_origin_clust2,4102,4774.664526,6.026448259,0.834064783,2.504345201,400.2983679,3,0.364815382,0.301030891,0.001469149,0.20245774,0.026759866,0.301128033,0.496178959,3400086,0.301128033,0.165935217,0.891981642,0.997786499,2.061421983,0.043264539,0.041875399,S1
Donor_origin_clust2,4165,4865.682281,8.446462594,0.881607242,2.861080697,410.3422443,4,0.227559447,0.343282796,0.002027962,0.159957829,0.03119103,0.276617215,0.378970708,2904860,0.276617215,0.118392758,0.899455985,0.996571156,2.061421059,0.030832069,0.039746048,S1
Donor_origin_clust2,4120,4710.52226,10.51376532,0.904886597,2.853176816,408.7463383,4,0.261699459,0.342781239,0.002551885,0.188267791,0.026419156,0.156206652,0.307242098,1522826,0.156206652,0.095113403,0.903179071,0.997134762,2.061421509,0.038834354,0.036569663,S4
Donor_origin_clust2,5344,5711.924296,7.677834454,0.869754941,3.05526905,597.9723575,3,0.054630739,0.355937238,0.001436721,0.230787007,0.044245708,0.293838659,0.460692682,1336489,0.293838659,0.130245059,0.753550772,0.992641135,2.061422857,0.077495335,0.096456604,S4
Donor_origin_clust2,5920,6196.06729,17.94338705,0.944269162,3.720079895,661.2907975,7,0.088944436,0.428280061,0.003030978,0.231691776,0.046029092,0.159895765,0.266697796,816694,0.159895765,0.055730838,0.716955204,0.99049803,2.061421072,0.078895151,0.134794471,S1
Donor_origin_clust1,5017,5528.852313,2.010495021,0.502610059,1.701717356,537.5236762,1,0.71608305,0.199718314,0.000400737,0.243931487,0.031161409,0.701421935,0.753529671,4264268,0.701421935,0.497389941,0.212122882,0.996117819,2.06142293,0.043264519,0.029213605,S1
Donor_origin_clust1,5991,6196.736979,4.488315684,0.777199272,2.907445448,679.8168062,2,0.023603619,0.334265451,0.000749176,0.257932868,0.05140155,0.457137233,0.544832379,2087695,0.457137233,0.222800728,0.367205334,0.988453626,2.061422962,0.084822951,0.068495424,S4
Donor_origin_clust2,5711,5978.344064,7.54574298,0.867474945,3.399356562,683.5800147,3,0.155058588,0.39298241,0.001321265,0.240648564,0.063785232,0.329026746,0.426726044,955545,0.329026746,0.132525055,0.425867619,0.986200573,2.061422831,0.107026275,0.154767512,S4
