cluster,tsne1,tsne2
1,-0.183951293,-5.474161295
1,-0.350561585,-5.786291886
1,-0.547774466,-10.32815171
1,-4.829983687,-5.408399013
1,-4.464930505,-4.970877804
1,-4.510754283,-4.985173978
1,-6.205271843,-5.981801443
1,-0.828737046,-14.67831841
1,-0.767736941,-14.74192733
1,-1.256764253,-10.47603923
2,3.947620568,-0.584961256
1,-4.956466923,0.509450311
2,4.529613977,11.98217789
2,4.473679708,11.9420549
2,-1.376178375,6.089666728
1,2.604427318,-2.5725027
2,5.003756323,-1.812644459
2,4.03296009,-1.89412637
2,4.75302503,-1.79807069
2,6.664142693,0.354583667
1,-7.69476728,-1.948193226
2,-4.733946002,3.542945009
1,-10.50668404,-7.683760467
1,-10.70605938,-7.791366301
1,-11.03414772,-7.775811593
2,2.852370435,-1.468560062
2,-3.948290415,2.00125621
2,11.14858732,-0.774453236
1,2.889306538,-9.738681037
2,-4.608577037,7.233515224
2,2.878597829,9.675192033
1,-1.662884153,-2.438760472
2,3.436296224,0.777756432
1,-4.199219423,-12.47432996
1,-1.501348627,-5.769311843
2,-5.93775407,13.71544961
1,2.139172589,-5.396462639
2,4.130147103,3.297231741
2,7.635716673,0.548512996
2,7.861248896,0.575488292
2,7.678741645,0.679121408
1,6.295722059,-7.708481805
2,7.831108895,2.887751371
2,9.187720075,1.269666202
2,9.123909747,1.301697696
2,-3.881253266,14.78607832
2,5.223857074,12.85552514
2,7.564779192,9.881309839
2,5.453746337,5.20631573
1,7.977595589,-7.026721585
2,-4.085709059,18.90588654
1,-2.997551102,-10.10745891
1,-2.181749501,-1.097818854
1,-7.111272747,-5.540936797
1,2.281014974,-2.013731282
2,11.56926285,-5.399216122
2,-4.372869081,17.86395982
2,-3.067850193,8.981255869
1,5.118369709,-9.057128995
1,-0.490961143,-11.59448969
2,-6.652919903,14.92303845
1,-8.714480111,1.713923017
1,-5.04319621,-12.54101674
1,9.46757802,-7.408022928
1,-1.424233854,-11.90916061
2,2.97532347,7.889071439
2,-6.36774964,13.96971675
1,-6.461352441,-1.675534532
2,2.352646195,0.196706298
1,-3.131514169,-8.506084209
2,6.177246155,-0.223132713
2,2.132865705,10.94183348
1,4.619348609,-4.157489624
1,-9.442957382,-5.13985449
1,-8.485085636,-5.211323264
1,-2.074871569,-8.952834805
1,3.414912637,-5.433831084
2,2.542426602,9.2989552
1,-1.942843241,-1.228521573
1,1.709381147,-8.353936186
2,-3.158670778,14.25319704
2,1.107062275,2.883851515
1,1.428001744,-2.134160475
2,-4.292048458,18.16083089
2,-6.886912361,4.194494858
1,-7.604184852,-7.43876003
1,0.520914425,-5.104653362
2,9.798206449,8.109639054
1,-11.19216041,-4.813683852
1,-8.124498703,-11.90855828
1,-3.175310649,-5.029071882
1,-12.07289745,-3.54135533
1,-9.223359586,-11.29260454
1,-9.995808534,-11.22999315
2,0.951047095,2.098397254
1,-8.454000767,0.005355698
2,3.578464127,-1.599016622
2,3.303151411,11.25246481
1,-4.571817253,-6.467484687
2,3.204330539,4.356498303
1,-7.491612248,-12.64487998
1,-10.47759741,-3.13711107
2,6.838624821,5.649602557
1,-1.067657948,-7.374834176
2,0.395097078,3.525524048
1,-9.626937026,2.637645678
1,-3.806023654,-9.221597376
2,-7.279559215,14.13496012
1,-5.861824544,0.902235878
2,8.432186895,4.417763298
1,0.829801896,-7.315250656
2,-1.683510556,4.809744102
2,9.520269898,6.091135075
1,1.325923435,-3.477437467
1,3.316065177,-6.42242132
1,-5.666979296,-3.786685981
1,0.801386614,-11.80190908
2,9.007758278,9.134027678
1,-7.856412784,-0.868981012
1,-3.046537524,-4.981778982
2,6.332771957,4.344301041
1,0.919365796,-4.522110422
2,8.346748323,10.3744368
2,5.811164637,2.338140281
1,2.205231242,-4.210843028
1,-3.3481739,0.803843771
2,7.666119514,7.677653726
2,6.736940437,9.911491761
1,-12.66496064,-7.382111924
1,1.481911124,-1.132295347
